51002,70,115,31,
51060,70,115,52,
51120,68,117,105,
51240,66,119,109,
51360,70,115,113,
51482,68,113,54,
51542,70,117,149,
51720,68,104,52,
51780,73,115,110,
51900,70,114,48,
51960,70,117,110,
52080,68,115,116,
52200,66,119,97,
52320,71,118,172,
52500,70,118,145,
52680,63,118,223,
52920,66,114,34,
52980,66,114,35,
53040,66,118,50,
53100,63,117,57,
53160,61,117,83,
53280,71,117,167,
53460,70,117,117,
53640,59,117,167,
53879,59,117,31,
53939,59,117,36,
53999,59,117,102,
54119,58,117,39,
54179,58,117,355,
54839,70,117,28,
54898,70,117,34,
54958,70,117,105,
55079,68,117,26,
55138,68,117,111,
55258,70,117,93,
55559,70,117,56,
55619,68,117,36,
55679,70,117,65,
55739,68,117,45,
55799,70,117,99,
55919,68,117,47,
55979,66,117,32,
56039,66,117,93,
56159,71,117,152,
56339,70,117,126,
56519,63,117,200,
56759,66,117,32,
56818,66,117,37,
56879,66,117,53,
56939,63,117,51,
56999,61,117,100,
57119,71,117,154,
57299,70,117,116,
57479,59,117,213,
57719,59,117,33,
57779,59,117,34,
57839,59,117,98,
57959,58,117,32,
58019,58,117,343,
